Ward,Ward Name,Median Income Change 10 vs. 15
1,Etobicoke North,9.7
2,Etobicoke North,11.8
3,Etobicoke Centre,13.4
4,Etobicoke Centre,13.1
5,Etobicoke-Lakeshore,6.7
6,Etobicoke-Lakeshore,10.7
7,York West,16.1
8,York West,13.1
9,York Centre,14.9
10,York Centre,15.5
11,York South-Weston,10.5
12,York South-Weston,12.8
13,Parkdale-High Park,14.6
14,Parkdale-High Park,19.4
15,Eglinton-Lawrence,15.9
16,Eglinton-Lawrence,19.7
17,Davenport,16.7
18,Davenport,16
19,Trinity-Spadina,17.1
20,Trinity-Spadina,21.7
21,St. Paul's,17.3
22,St. Paul's,12.2
23,Willowdale,0.5
24,Willowdale,3.8
25,Don Valley West,9.5
26,Don Valley West,9.5
27,Toronto Centre-Rosedale,11.6
28,Toronto Centre-Rosedale,23.5
29,Toronto-Danforth,10.2
30,Toronto-Danforth,14.8
31,Beaches-East York,9.6
32,Beaches-East York,12
33,Don Valley East,9
34,Don Valley East,12.1
35,Scarborough Southwest,15.2
36,Scarborough Southwest,12.1
37,Scarborough Centre,11.9
38,Scarborough Centre,10.2
39,Scarborough Agincourt,9.7
40,Scarborough Agincourt,13.2
41,Scarborough-Rouge River,7.9
42,Scarborough-Rouge River,12.4
43,Scarborough East,11.3
44,Scarborough East,6.6
